Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Adipose-derived Stem Cell Adipose Tissue Human	1/23	0.9088542349675697	0.9999956375987203	0	0	0.4140826278984174	0.03957410666131147	SOX2
Cancer Stem Cell Liver Human	1/23	0.9088542349675697	0.9999956375987203	0	0	0.4140826278984174	0.03957410666131147	SOX2
Pan-endothelial Cell Lung Human	1/23	0.9088542349675697	0.9999956375987203	0	0	0.4140826278984174	0.03957410666131147	S1PR1
Endothelial Cell Lung Human	1/23	0.9088542349675697	0.9999956375987203	0	0	0.4140826278984174	0.03957410666131147	CLDN5
Macrophage Lung Mouse	1/23	0.9088542349675697	0.9999956375987203	0	0	0.4140826278984174	0.03957410666131147	MAFB
Mesenchymal Stromal Cell Bone Marrow Human	1/23	0.9088542349675697	0.9999956375987203	0	0	0.4140826278984174	0.03957410666131147	ISLR
Cancer Cell Brain Human	2/39	0.9091044140386964	0.9999956375987203	0	0	0.49226137529935	0.04691020748423369	SOX2;SAMD9
Classical Monocyte Peripheral Blood Human	2/39	0.9091044140386964	0.9999956375987203	0	0	0.49226137529935	0.04691020748423369	BASP1;GPR183
Goblet Cell Small Intestine Mouse	5/81	0.9126988630523866	0.9999956375987203	0	0	0.5987442617700438	0.05469486030457264	C1GALT1C1;REP15;GCNT3;SMIM6;ATOH1
CD1C+ B Dendritic Cell Blood Human	3/54	0.9128279512559885	0.9999956375987203	0	0	0.5355503903689135	0.04884640473691513	PTAFR;RNASE2;CREB5
Macrophage Brain Human	6/94	0.9129257729866754	0.9999956375987203	0	0	0.620416493704165	0.0565203779948737	NFIL3;C3AR1;S1PR1;TMEM119;FPR3;TLR2
Myeloid Cell Bone Marrow Human	8/120	0.9162540942409931	0.9999956375987203	0	0	0.649749691649133	0.05682811989684338	CEBPA;PTGDR2;G0S2;FPR2;CCR5;CCR4;CREB5;TLR2
CD4+ T Cell Blood Human	2/40	0.9164003695624936	0.9999956375987203	0	0	0.4792804796802132	0.04184210855162406	LRRN3;PTGDR2
CD4+ T Cell Skin Human	1/24	0.917874184529189	0.9999956375987203	0	0	0.3960570322126386	0.03394008822379217	GJB2
CD4+ T Cell Stomach Human	1/24	0.917874184529189	0.9999956375987203	0	0	0.3960570322126386	0.03394008822379217	GIMAP7
T Helper 1(Th1) Cell Stomach Human	1/24	0.917874184529189	0.9999956375987203	0	0	0.3960570322126386	0.03394008822379217	LRRN3
Mesenchymal Stem Cell Adipose Tissue Human	1/24	0.917874184529189	0.9999956375987203	0	0	0.3960570322126386	0.03394008822379217	SOX2
Stem Cell Breast Human	1/25	0.9260018883948031	0.9999956375987203	0	0	0.37953356950067474	0.02917816320051568	ALDH1B1
T Helper 2(Th2) Cell Stomach Human	1/25	0.9260018883948031	0.9999956375987203	0	0	0.37953356950067474	0.02917816320051568	CXCR6
Type II Pneumocyte Lung Mouse	1/25	0.9260018883948031	0.9999956375987203	0	0	0.37953356950067474	0.02917816320051568	MID1IP1
Hematopoietic Progenitor Cell Bone Marrow Human	1/25	0.9260018883948031	0.9999956375987203	0	0	0.37953356950067474	0.02917816320051568	HTR1F
Cytotoxic CD4+ T Cell Liver Human	5/85	0.931842243560761	0.9999956375987203	0	0	0.5686802738336714	0.04014413298473597	FGFBP2;RAP2B;CHST12;ADRB2;S1PR5
CCK Basket Cell Brain Mouse	1/26	0.9333255662942378	0.9999956375987203	0	0	0.364331983805668	0.025139341657865362	KCNF1
Regulatory T(Treg) Cell Blood Human	1/26	0.9333255662942378	0.9999956375987203	0	0	0.364331983805668	0.025139341657865362	S1PR4
Type I Pneumocyte Lung Mouse	1/26	0.9333255662942378	0.9999956375987203	0	0	0.364331983805668	0.025139341657865362	AKAP5
Immature Dendritic Cell Stomach Human	1/26	0.9333255662942378	0.9999956375987203	0	0	0.364331983805668	0.025139341657865362	TACSTD2
Basal Cell Lung Human	6/99	0.9348833718837037	0.9999956375987203	0	0	0.5868971047937023	0.03951783234788406	ARL4D;FGFBP1;GJB3;SFN;NRARP;PHLDA3
B Cell Lymph Human	1/27	0.939924719141715	0.9999956375987203	0	0	0.350299750856431	0.02170299374267936	PCBP1
Natural Killer Cell Spleen Human	1/27	0.939924719141715	0.9999956375987203	0	0	0.350299750856431	0.02170299374267936	CXCR6
Osteoblast Bone Human	1/27	0.939924719141715	0.9999956375987203	0	0	0.350299750856431	0.02170299374267936	NFIL3
Distal Convoluted Tubular Cell Kidney Mouse	1/27	0.939924719141715	0.9999956375987203	0	0	0.350299750856431	0.02170299374267936	CDC42EP3
Stem Cell Muscle Human	1/27	0.939924719141715	0.9999956375987203	0	0	0.350299750856431	0.02170299374267936	SPRY1
Macrophage Blood Mouse	1/27	0.939924719141715	0.9999956375987203	0	0	0.350299750856431	0.02170299374267936	BASP1
Mesenchymal Cell Breast Human	1/27	0.939924719141715	0.9999956375987203	0	0	0.350299750856431	0.02170299374267936	TWIST1
Multipotent Progenitor Cell Stomach Human	2/45	0.9453092411804266	0.9999956375987203	0	0	0.42343244038857814	0.023815180897005246	GJC2;TCIM
T Cell Blood Human	2/45	0.9453092411804266	0.9999956375987203	0	0	0.42343244038857814	0.023815180897005246	CXCR6;GIMAP7
Macrophage Nasopharynx Human	2/45	0.9453092411804266	0.9999956375987203	0	0	0.42343244038857814	0.023815180897005246	MAFB;RNASE1
Macrophage Undefined Human	2/45	0.9453092411804266	0.9999956375987203	0	0	0.42343244038857814	0.023815180897005246	CCR5;TLR2
Central Memory T Cell Stomach Human	1/28	0.945870990613385	0.9999956375987203	0	0	0.33730694257010047	0.01877082534537906	RPP38
Rheaume Et al.Nat Commun.32 Retina Mouse	1/28	0.945870990613385	0.9999956375987203	0	0	0.33730694257010047	0.01877082534537906	GPR88
Stem Cell Liver Human	1/28	0.945870990613385	0.9999956375987203	0	0	0.33730694257010047	0.01877082534537906	SOX2
Lymphoid-primed Multipotent Progenitor cell(LMPP) Umbilical Cord Blood Human	4/75	0.9466676616029914	0.9999956375987203	0	0	0.512610380988414	0.028094732243375223	ZSWIM1;PROB1;PTGDR2;ASPRV1
Natural Killer Cell Peripheral Blood Human	2/46	0.9498142179448305	0.9999956375987203	0	0	0.4137859608745685	0.021305373024505518	CXCR6;CHST2
Endothelial Cell Liver Mouse	1/29	0.9512289433295492	0.9999956375987203	0	0	0.3252421920185078	0.01626227412191257	GPR182
T Cell Lymph Human	1/29	0.9512289433295492	0.9999956375987203	0	0	0.3252421920185078	0.01626227412191257	TAL2
Effector CD8+ Memory T (Tem) Cell Peripheral Blood Human	4/77	0.9536032798242803	0.9999956375987203	0	0	0.49851071659179746	0.023683019436013034	FGFBP2;RAP2B;ADRB2;S1PR5
Type IA Spiral Ganglion Neuron Brain Mouse	11/170	0.9552229022177785	0.9999956375987203	0	0	0.6286237099880356	0.02879760435518093	SMIM3;FRAT2;ERICH1;TCIM;PCED1B;SOX12;RPP25;LRRC4C;TMEM229A;RTL5;SERTM1
Epithelial Cell Lung Human	3/63	0.9556354091558968	0.9999956375987203	0	0	0.45498986828774063	0.020646898715367092	SPRR3;AGTR2;SPRR2A
Megakaryocyte Erythroid Cell Undefined Human	3/63	0.9556354091558968	0.9999956375987203	0	0	0.45498986828774063	0.020646898715367092	PTGDR2;CCR5;CCR4
Collecting Duct Transient Cell Kidney Mouse	1/30	0.9560567581673823	0.9999956375987203	0	0	0.31400949322909394	0.014110957735390076	SOX4
T Cell Peripheral Blood Human	2/48	0.9577833508803745	0.9999956375987203	0	0	0.39575123830489817	0.01707020485576789	CXCR6;CCR5
T Cell Undefined Human	4/79	0.9596991083811182	0.9999956375987203	0	0	0.48516303429633384	0.019957410616008617	PTGDR2;CCR5;CCR4;PHLDA1
4-Cell Stage Cell (Blastomere) Embryo Human	1/31	0.9604068649973003	0.9999956375987203	0	0	0.303525641025641	0.012261909766117119	ZBTB39
Hepatocyte Liver Human	1/31	0.9604068649973003	0.9999956375987203	0	0	0.303525641025641	0.012261909766117119	CEBPA
Enterocyte Progenitor Cell Small Intestine Human	8/134	0.9606837418507423	0.9999956375987203	0	0	0.5771038396736721	0.02314764478656399	SLC35A4;GJB1;PRR15L;RNASE6;PRR15;G0S2;RNF186;MYORG
Proliferative Chondrocyte Articular Cartilage Human	1/32	0.9643265107643129	0.9999956375987203	0	0	0.2937181663837012	0.010669411555056768	B3GNT5
Endothelial Cell Soft Tissue Human	1/32	0.9643265107643129	0.9999956375987203	0	0	0.2937181663837012	0.010669411555056768	CLEC14A
Cancer Stem Cell Undefined Human	6/110	0.9667752451893075	0.9999956375987203	0	0	0.5244994731296101	0.017722436150992088	SOX2;GJA1;ALDH1B1;CXCR1;SOX12;ASCL1
